fid,Longitude,Latitude,NAME_SEC,DEPARTEMENT,COMMUNE,ID_SEC_COR,ARRONDISSEMENT,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,DANSI2021,DEPATMAN,KOMIN,SEKSYON,AWONDISMAN,PC0_12,PC12_30,PC30_60,PC_60plus,PC_POV,Elvaj_Venal,Elvaj_Dominant,PC_3kmSant,PC_3kmLekol
1,-73.8325748456678,18.1644688698476,1ère Boury,Sud,Torbeck,712-01,Cayes,42.4953,91,4,5,0,40,28606,673,Sid,Tòbèk,1e Bouri,Okay,99.8,0.2,0,0,49,579181,Bovin,1,0
2,-72.4236660120463,19.6003500764431,8ème Ilot à Cornes,Nord,Limbé,361-08,Limbé,25.4538,37,4,5,110,850,4530,178,Nò,Lenbe,8e Ilowakòn,Lenbe,2.7,66.7,30.7,0,73,377293,Bovin,47,11
3,-73.3863397938989,18.4233642898744,3 ème Arnaud,Nippes,Arnaud,1024-03,Anse à Veau,21.1222,49,3,4,70,440,5467,259,Nip,Ano,3e Ano,Ansavo,24.1,55.3,20.6,0,54,238280,Bovin,25,0
4,-73.4026123556364,18.4725223725602,1ère Baconnois-Barreau,Nippes,Arnaud,1024-01,Anse à Veau,34.2099,56,3,3,20,630,8561,250,Nip,Ano,1e Bakonwa-Bawo,Ansavo,22.2,53.1,24.7,0,59,308414,Bovin,36,0
5,-73.3558557987095,18.4349773737288,2ème Baquet,Nippes,Arnaud,1024-02,Anse à Veau,18.7411,62,3,4,40,510,4231,226,Nip,Ano,2e Bakè,Ansavo,38.8,39.8,21.4,0,63,377326,Bovin,62,0
6,-73.9386270710499,18.3319301529396,4ème Moreau,Sud,Torbeck,712-04,Cayes,44.3588,53,5,7,160,1860,9312,210,Sid,Tòbèk,4e Mowo,Okay,13.6,22.6,42.3,21.6,72,763242,Bovin,70,29
7,-72.2560999216805,19.6004717436544,3ème Grand Boucan,Nord,Plaine du Nord,322-03,Acul du Nord,22.3564,72,4,5,40,730,8190,366,Nò,Plèndinò,3e Gran Boukan,Akildinò,40.8,52.7,6.6,0,58,234704,Bovin,3,0
8,-72.2500807578022,19.650676343657,4ème Bassin Diamant,Nord,Plaine du Nord,322-04,Acul du Nord,6.0688,99,4,4,10,40,1735,286,Nò,Plèndinò,4e Basen Dyaman,Akildinò,99.8,0,0,0,66,112221,Bovin,35,0
9,-73.8553347549134,18.2081251163343,2ème Bérault,Sud,Torbeck,712-02,Cayes,48.7322,81,5,5,30,110,23077,474,Sid,Tòbèk,2e Bero,Okay,100,0,0,0,51,519751,Bovin,15,4
10,-73.1117538833168,19.8639210506266,2ème Guinaudée,Nord Ouest,Jean Rabel,934-02,Môle Saint Nicolas,104.7568,49,1,3,0,660,36940,353,Nòdwès,Jan Rabèl,2e Ginode,Mòl Sen Nikola,64.3,35,0.8,0,58,1645838,Caprin,29,1
